date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:29	14267/14267	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:55%20GMT	https://minetest.gitlab.io/minetest/map-terminology-and-coordinates/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/map-terminology-and-coordinates/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:31	12756/12756	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:55%20GMT	https://minetest.gitlab.io/minetest/representations-of-simple-things/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/representations-of-simple-things/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:31	12815/12815	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/flag-specifier-format/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/flag-specifier-format/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:31	4401/4401	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/js/theme.js	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/js/theme.js	(from https://minetest.gitlab.io/minetest/)
10:24:31	17550/17550	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/hud/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/hud/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:33	19145/19145	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:55%20GMT	https://minetest.gitlab.io/minetest/tools/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/tools/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:33	14499/14499	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/entity-damage-mechanism/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/entity-damage-mechanism/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:33	23869/23869	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/groups/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/groups/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:33	15596/15596	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/items/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/items/index.html	(from https://minetest.gitlab.io/minetest/)
10:24:35	12027/12027	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202020%2000:32:54%20GMT	https://minetest.gitlab.io/minetest/inventory/	/storage/emulated/0/HTTrack/Websites/minetestLua/minetest.gitlab.io/minetest/inventory/index.html	(from https://minetest.gitlab.io/minetest/)
